jd,wd,type
104.06079,30.6575,11
104.05058,30.65309,64
104.12941,30.66867,43
104.11211,30.66643,33
104.06982,30.65371,37
104.04253,30.67542,5
104.07533,30.72732,19
104.04297,30.70395,0
104.06059,30.65772,11
104.10855,30.72671,12
104.04339,30.72298,6
104.08795,30.65417,42
104.12886,30.66839,43
104.04251,30.66517,9
104.07256,30.69455,55
104.11479,30.6549,1
104.07273,30.69471,55
104.04233,30.66526,9
104.10369,30.66918,16
104.1203,30.66782,54
104.04272,30.68105,49
104.08155,30.65713,17
104.11271,30.71525,80
104.04749,30.72767,21
104.04218,30.65522,4
104.10466,30.65465,65
104.04298,30.70351,0
104.06592,30.65362,22
104.08682,30.65418,18
104.11479,30.65494,1
104.07995,30.6547,17
104.06022,30.65334,24
104.0429,30.70022,53
104.04336,30.7162,36
104.06065,30.65827,11
104.04298,30.69717,75
104.12948,30.6687,43
104.12864,30.71546,34
104.07541,30.65373,31
104.05651,30.66281,51
104.04311,30.69295,29
104.04762,30.72754,21
104.04225,30.65522,4
104.04334,30.72295,6
104.06593,30.65354,22
104.04332,30.72293,6
104.04249,30.66529,9
104.04747,30.72771,21
104.06024,30.65337,24
104.04311,30.70436,0
104.0802,30.65519,17
104.11479,30.65509,1
104.06031,30.65348,24
104.05271,30.65329,56
104.11479,30.65507,1
104.06593,30.65352,22
104.04307,30.7036,0
104.10467,30.65466,65
104.0425,30.67543,5
104.07532,30.72714,19
104.09732,30.67458,15
104.0435,30.72306,6
104.08789,30.65409,42
104.06592,30.65386,22
104.06061,30.65719,11
104.11479,30.6551,1
104.04298,30.70351,0
104.11897,30.65497,59
104.08647,30.66111,68
104.08227,30.65395,67
104.05062,30.65308,64
104.04315,30.71596,36
104.09525,30.66175,35
104.05435,30.66078,47
104.0434,30.72299,6
104.04247,30.65849,32
104.09873,30.65439,23
104.04314,30.7071,71
